V1	V2	Cluster
PF3D7_0709100	Cg1 protein	108
PF3D7_0709200	glutaredoxin-like protein	11
PF3D7_0709300	Cg2 protein	35
PF3D7_0709400	Cg7 protein	28
PF3D7_0709500	conserved Plasmodium protein, unknown function	197
PF3D7_0709600	ribonucleases P/MRP protein subunit POP1, putative	25
PF3D7_0709700	prodrug activation and resistance esterase	21
PF3D7_0709900	conserved protein, unknown function	151
PF3D7_0710000	conserved Plasmodium protein, unknown function	11
PF3D7_0710100	conserved Plasmodium protein, unknown function	127
PF3D7_0710200	conserved Plasmodium protein, unknown function	51
PF3D7_0710300	conserved Plasmodium membrane protein, unknown function	110
PF3D7_0710400	DNA repair protein RAD14, putative	162
PF3D7_0710500	conserved Plasmodium protein, unknown function	146
PF3D7_0710600	60S ribosomal protein L34	9
PF3D7_0710700	conserved Plasmodium protein, unknown function	207
PF3D7_0710800	conserved Plasmodium protein, unknown function	152
PF3D7_0710900	50S ribosomal protein L1, mitochondrial, putative	129
PF3D7_0711000	AAA family ATPase, CDC48 subfamily	75
PF3D7_0711100	conserved Plasmodium membrane protein, unknown function	81
PF3D7_0711200	conserved Plasmodium protein, unknown function	76
PF3D7_0711300	conserved Plasmodium protein, unknown function	61
PF3D7_0711400	histone deacetylase complex subunit SAP18, putative	118
PF3D7_0711500	regulator of chromosome condensation, putative	70
PF3D7_0713100	Pfmc-2TM Maurer's cleft two transmembrane protein	185
PF3D7_0713200	exported protein family 1	181
PF3D7_0713400	GPCR-like receptor SR25	135
PF3D7_0713500	conserved Plasmodium protein, unknown function	221
PF3D7_0713600	mitochondrial ribosomal protein S5 precursor, putative	117
PF3D7_0713700	conserved Plasmodium protein, unknown function	55
PF3D7_0713800	negative elongation factor A, putative	148
PF3D7_0713900	conserved Plasmodium protein, unknown function	171
PF3D7_0714000	histone H2B variant	30
PF3D7_0714100	MAATS1 domain-containing protein, putative	184
PF3D7_0714200	conserved Plasmodium protein, unknown function	23
PF3D7_0714300	palmitoyltransferase DHHC4, putative	127
PF3D7_0714400	calmodulin, putative	222
PF3D7_0714500	transcription elongation factor s-II, putative	204
PF3D7_0714600	conserved Plasmodium protein, unknown function	120
PF3D7_0715000	4-nitrophenylphosphatase	223
PF3D7_0715100	C-Myc-binding protein, putative	46
PF3D7_0715200	conserved Plasmodium protein, unknown function	191
PF3D7_0715300	calcium/calmodulin-dependent protein kinase, putative	27
PF3D7_0715400	secreted ookinete protein, putative	28
PF3D7_0715500	ATP synthase subunit epsilon, mitochondrial, putative	44
PF3D7_0715600	GTP-binding translation elongation factor tu family protein, putative	44
PF3D7_0715700	conserved Plasmodium protein, unknown function	37
PF3D7_0715800	drug/metabolite transporter DMT1, putative	16
PF3D7_0715900	cation diffusion facilitator family protein, putative	108
PF3D7_0716000	RNA-binding protein, putative	100
PF3D7_0716100	protein SDA1, putative	137
PF3D7_0716200	PDCD2 domain-containing protein, putative	172
PF3D7_0716300	conserved Plasmodium protein, unknown function	16
PF3D7_0716400	transcription initiation factor IIA subunit 1, putative	44
PF3D7_0716500	conserved Plasmodium protein, unknown function	57
PF3D7_0716600	cysteine desulfurase	57
PF3D7_0716700	conserved Plasmodium protein, unknown function	89
PF3D7_0716800	eukaryotic translation initiation factor 3 subunit I, putative	214
PF3D7_0716900	drug/metabolite transporter DMT2	59
PF3D7_0717000	conserved Plasmodium membrane protein, unknown function	10
PF3D7_0717100	conserved Plasmodium protein, unknown function	146
PF3D7_0717200	conserved Plasmodium protein, unknown function	14
PF3D7_0717300	transcription initiation factor IIE subunit alpha, putative	150
PF3D7_0717400	queuine tRNA-ribosyltransferase, putative	159
PF3D7_0717500	calcium-dependent protein kinase 4	150
PF3D7_0717600	conserved Plasmodium protein, unknown function	191
PF3D7_0717700	serine--tRNA ligase, putative	64
PF3D7_0717800	conserved Plasmodium protein, unknown function	43
PF3D7_0717900	thioredoxin-like protein	70
PF3D7_0718000	dynein heavy chain, putative	182
PF3D7_0718100	exported serine/threonine protein kinase	24
PF3D7_0718300	cysteine repeat modular protein 2	1
PF3D7_0718400	mitochondrial ribosomal protein S8 precursor, putative	92
PF3D7_0718500	prefoldin subunit 3, putative	29
PF3D7_0718600	conserved Plasmodium protein, unknown function	90
PF3D7_0718700	conserved Plasmodium membrane protein, unknown function	48
PF3D7_0718800	conserved Plasmodium protein, unknown function	18
PF3D7_0718900	conserved Plasmodium protein, unknown function	208
PF3D7_0719000	conserved Plasmodium protein, unknown function	35
PF3D7_0719100	conserved Plasmodium protein, unknown function	46
PF3D7_0719200	NIMA related kinase 4	89
PF3D7_0719300	actin-related protein, putative	97
PF3D7_0719400	conserved Plasmodium protein, unknown function	10
PF3D7_0719500	LEM3/CDC50 family protein, putative	176
PF3D7_0719600	60S ribosomal protein L11a, putative	9
PF3D7_0719700	40S ribosomal protein S10, putative	9
PF3D7_0719800	conserved Plasmodium protein, unknown function	53
PF3D7_0719900	conserved Plasmodium membrane protein, unknown function	152
PF3D7_0720000	exosome complex component CSL4, putative	201
PF3D7_0720100	small subunit rRNA processing protein, putative	26
PF3D7_0720200	conserved Plasmodium protein, unknown function	152
PF3D7_0720300	conserved Plasmodium protein, unknown function	80
PF3D7_0720400	ferrodoxin reductase-like protein	12
PF3D7_0720500	conserved Plasmodium protein, unknown function	146
PF3D7_0720600	conserved Plasmodium protein, unknown function	35
PF3D7_0720700	phosphoinositide-binding protein, putative	224
PF3D7_0720800	Ham1-like protein, putative	204
PF3D7_0720900	conserved Plasmodium protein, unknown function	58
PF3D7_0721000	conserved Plasmodium membrane protein, unknown function	109
PF3D7_0721100	conserved Plasmodium protein, unknown function	16
PF3D7_0721200	conserved Plasmodium protein, unknown function	100
PF3D7_0721300	ATP-dependent RNA helicase DBP7, putative	131
PF3D7_0721400	conserved Plasmodium protein, unknown function	19
PF3D7_0721500	conserved Plasmodium membrane protein, unknown function	10
PF3D7_0721600	40S ribosomal protein S5, putative	9
PF3D7_0721700	secreted ookinete protein, putative	82
PF3D7_0721800	conserved Plasmodium protein, unknown function	114
PF3D7_0722000	conserved Plasmodium protein, unknown function	94
PF3D7_0722100	protein pelota homolog, putative	169
PF3D7_0722200	rhoptry-associated leucine zipper-like protein 1	106
PF3D7_0722300	ubiquitin carboxyl-terminal hydrolase, putative	139
PF3D7_0722400	Obg-like ATPase 1, putative	9
PF3D7_0722500	pre-mRNA-splicing factor CWC15, putative	152
PF3D7_0722600	U3 small nucleolar RNA-associated protein 7, putative	94
PF3D7_0722700	conserved Plasmodium protein, unknown function	123
PF3D7_0722800	conserved Plasmodium protein, unknown function	95
PF3D7_0722900	conserved Plasmodium protein, unknown function	95
PF3D7_0723000	tRNAHis guanylyltransferase, putative	13
PF3D7_0723100	protein CPH1, putative	164
PF3D7_0723200	conserved Plasmodium protein, unknown function	84
PF3D7_0723300	conserved Plasmodium protein, unknown function	14
PF3D7_0723400	conserved Plasmodium protein, unknown function	100
PF3D7_0723500	dynactin subunit 5, putative	111
PF3D7_0723600	proteasome assembly chaperone 4, putative	49
PF3D7_0723700	metallo-hydrolase/oxidoreductase, putative	225
PF3D7_0723800	conserved Plasmodium protein, unknown function	123
PF3D7_0723900	RNA-binding protein, putative	64
PF3D7_0724000	Rab GTPase activator and protein kinase, putative	28
PF3D7_0724100	conserved Plasmodium protein, unknown function	223
PF3D7_0724200	type 2A phosphatase-associated protein 42, putative	25
PF3D7_0724300	3-demethylubiquinone-9 3-methyltransferase, putative	165
PF3D7_0724400	mitochondrial import inner membrane translocase subunit TIM14, putative	207
PF3D7_0724500	conserved Plasmodium protein, unknown function	127
PF3D7_0724600	protein kinase, putative	108
PF3D7_0724700	conserved Plasmodium protein, unknown function	147
PF3D7_0724800	kelch domain-containing protein, putative	208
PF3D7_0724900	kinesin-19, putative	14
PF3D7_0725000	exonuclease I, putative	40
PF3D7_0725100	conserved Plasmodium membrane protein, unknown function	122
PF3D7_0725200	mago nashi protein homologue, putative	171
PF3D7_0725300	conserved Plasmodium protein, unknown function	147
PF3D7_0725400	conserved Plasmodium protein, unknown function	5
PF3D7_0726100	Plasmodium exported protein, unknown function	66
PF3D7_0726200	serine/threonine protein kinase, FIKK family	142
PF3D7_0726300	DNA mismatch repair protein PMS1, putative	11
PF3D7_0726400	conserved Plasmodium membrane protein, unknown function	109
PF3D7_0726500	ubiquitin carboxyl-terminal hydrolase, putative	64
PF3D7_0726600	conserved Plasmodium protein, unknown function	37
PF3D7_0726700	conserved Plasmodium protein, unknown function	116
PF3D7_0726900	mitochondrial import inner membrane translocase subunit TIM50, putative	70
PF3D7_0727000	vacuolar protein sorting-associated protein 53, putative	223
PF3D7_0727100	conserved Plasmodium protein, unknown function	112
PF3D7_0727200	cysteine desulfurase, putative	52
PF3D7_0727300	DNA (cytosine-5)-methyltransferase	26
PF3D7_0727400	proteasome subunit alpha type-5, putative	50
PF3D7_0727500	mTERF domain-containing protein, putative	32
PF3D7_0727600	conserved Plasmodium protein, unknown function	60
PF3D7_0727700	conserved Plasmodium protein, unknown function	55
PF3D7_0727800	cation transporting ATPase, putative	59
PF3D7_0727900	conserved Plasmodium protein, unknown function	97
PF3D7_0728000	eukaryotic translation initiation factor 2 subunit alpha	100
PF3D7_0728100	conserved Plasmodium membrane protein, unknown function	117
PF3D7_0728200	actin-like protein, putative	208
PF3D7_0728300	conserved Plasmodium protein, unknown function	24
PF3D7_0728400	conserved Plasmodium protein, unknown function	124
PF3D7_0728600	RING zinc finger protein, putative	10
PF3D7_0728700	alpha/beta hydrolase, putative	43
PF3D7_0728800	conserved Plasmodium protein, unknown function	58
PF3D7_0729000	signal recognition particle subunit SRP9	120
PF3D7_0729100	conserved Plasmodium protein, unknown function	93
PF3D7_0729200	1-cys peroxiredoxin	47
PF3D7_0729300	60S ribosomal export protein NMD3, putative	39
PF3D7_0729400	ribosome biogenesis protein BRX1, putative	100
PF3D7_0729500	mRNA (N6-adenosine)-methyltransferase, putative	13
PF3D7_0729600	conserved Plasmodium protein, unknown function	176
PF3D7_0729700	conserved Plasmodium protein, unknown function	205
PF3D7_0729900	dynein heavy chain, putative	208
PF3D7_0730000	conserved Plasmodium protein, unknown function	71
PF3D7_0730100	tRNA pseudouridine synthase D, putative	102
PF3D7_0730200	AP-4 complex subunit beta, putative	25
PF3D7_0730300	AP2 domain transcription factor AP2-L, putative	39
PF3D7_0730400	IMP1-like protein, putative	103
PF3D7_0730500	conserved Plasmodium protein, unknown function	106
PF3D7_0730800	Plasmodium exported protein, unknown function, unspecified product	66
PF3D7_0730900	EMP1-trafficking protein	70
PF3D7_0731100	EMP1-trafficking protein	66
PF3D7_0731200	Plasmodium exported protein, unknown function	81
PF3D7_0731300	Plasmodium exported protein (PHISTb), unknown function	70
PF3D7_0731400	serine/threonine protein kinase, FIKK family, pseudogene	142
PF3D7_0731500	erythrocyte binding antigen-175	5
PF3D7_0731600	acyl-CoA synthetase	55
PF3D7_0731700	Plasmodium exported protein (hyp9), unknown function	202
PF3D7_0731800	alpha/beta hydrolase, putative	76
PF3D7_0800600	Plasmodium exported protein (PHISTa), unknown function	217
PF3D7_0800700	surface-associated interspersed protein 8.3 (SURFIN 8.3)	6
PF3D7_0800800	Plasmodium exported protein (hyp7), unknown function	142
PF3D7_0800900	Plasmodium exported protein (hyp7), unknown function, pseudogene	81
PF3D7_0801000	Plasmodium exported protein (PHISTc), unknown function	66
PF3D7_0801400	conserved Plasmodium protein, unknown function	82
PF3D7_0801500	nucleolar protein 10, putative	94
PF3D7_0801600	conserved Plasmodium protein, unknown function	153
PF3D7_0801700	sentrin-specific protease 2, putative	96
PF3D7_0801800	mannose-6-phosphate isomerase, putative	100
PF3D7_0801900	lysine-specific histone demethylase, putative	104
PF3D7_0802000	glutamate dehydrogenase, putative	70
PF3D7_0802100	AP2 domain transcription factor, putative	123
PF3D7_0802200	1-cys peroxiredoxin	58
PF3D7_0802300	periodic tryptophan protein 2, putative	25
PF3D7_0802400	conserved Plasmodium protein, unknown function	171
PF3D7_0802500	inositol 5-phosphatase, putative	226
PF3D7_0802600	adenylyl cyclase beta	148
PF3D7_0802700	conserved Plasmodium protein, unknown function	170
PF3D7_0802800	serine/threonine protein phosphatase 2B catalytic subunit A	123
PF3D7_0802900	conserved Plasmodium protein, unknown function	166
PF3D7_0803000	peptidyl-prolyl cis-trans isomerase	147
PF3D7_0803100	U3 small nucleolar RNA-associated protein 14, putative	100
PF3D7_0803200	filament assembling protein, putative	148
PF3D7_0803300	mitogen-activated protein kinase organizer 1, putative	164
PF3D7_0803400	DNA repair and recombination protein RAD54, putative	191
PF3D7_0803500	AAA family ATPase, putative	193
PF3D7_0803600	conserved Plasmodium protein, unknown function	226
PF3D7_0803700	tubulin gamma chain	44
PF3D7_0803800	proteasome subunit beta type-4	109
PF3D7_0804000	cactin homolog, putative	139
PF3D7_0804300	zinc finger protein, putative	66
PF3D7_0804400	methionine aminopeptidase 1c, putative	93
PF3D7_0804500	conserved Plasmodium membrane protein, unknown function	109
PF3D7_0804600	tRNA pseudouridine synthase, putative	131
PF3D7_0804700	conserved Plasmodium protein, unknown function	95
PF3D7_0804800	peptidyl-prolyl cis-trans isomerase	52
PF3D7_0804900	GTPase-activating protein, putative	163
PF3D7_0805000	alpha/beta hydrolase, putative	179
PF3D7_0805100	conserved Plasmodium protein, unknown function	203
PF3D7_0805200	gamete release protein, putative	103
PF3D7_0805300	conserved Plasmodium protein, unknown function	95
PF3D7_0806000	AAA family ATPase, putative	55
PF3D7_0806100	conserved Plasmodium protein, unknown function	152
PF3D7_0806200	Dpy-19-like C-mannosyltransferase, putative	18
PF3D7_0806300	ferlin, putative	11
PF3D7_0806400	glycosyltransferase family 28 protein, putative	37
PF3D7_0806500	DnaJ protein, putative	138
PF3D7_0806600	kinesin-like protein, putative	111
PF3D7_0806700	conserved Plasmodium membrane protein, unknown function	100
PF3D7_0806800	V-type proton ATPase subunit a, putative	128
PF3D7_0806900	conserved Plasmodium protein, unknown function	26
PF3D7_0807000	YEATS domain-containing protein, putative	70
PF3D7_0807100	DNA helicase PSH3	171
PF3D7_0807200	conserved Plasmodium membrane protein, unknown function	227
PF3D7_0807300	ras-related protein Rab-18	201
PF3D7_0807500	proteasome subunit alpha type-6, putative	50
PF3D7_0807600	conserved Plasmodium protein, unknown function	147
PF3D7_0807700	serine protease DegP	132
PF3D7_0807800	26S proteasome regulatory subunit RPN10, putative	109
PF3D7_0807900	tyrosine--tRNA ligase	98
PF3D7_0808000	conserved Plasmodium protein, unknown function	117
PF3D7_0808100	AP-3 complex subunit delta, putative	223
PF3D7_0808200	plasmepsin X	103
PF3D7_0808300	ubiquitin regulatory protein, putative	76
PF3D7_0808400	coatomer subunit epsilon, putative	224
PF3D7_0809200	asparagine-rich antigen Pfa55-14	85
PF3D7_0809400	conserved Plasmodium protein, unknown function	32
PF3D7_0809500	histone acetyltransferase subunit NuA4, putative	66
PF3D7_0809600	peptidase family C50, putative	28
PF3D7_0809700	RuvB-like helicase 1	228
PF3D7_0809800	conserved Plasmodium protein, unknown function	116
PF3D7_0809900	JmjC domain-containing protein, putative	4
PF3D7_0810000	acyl-CoA binding protein, putative	190
PF3D7_0810100	apicoplast ribosomal protein L33 precursor, putative	153
PF3D7_0810200	ABC1 family, putative	225
PF3D7_0810300	protein phosphatase PPM5, putative	14
PF3D7_0810400	aquaporin, putative	161
PF3D7_0810500	protein phosphatase PPM7, putative	183
PF3D7_0810600	ATP-dependent RNA helicase DBP1, putative	65
PF3D7_0810700	conserved Plasmodium protein, unknown function	55
PF3D7_0810800	hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase	70
PF3D7_0810900	conserved Plasmodium protein, unknown function	148
PF3D7_0811000	cullin-1, putative	37
PF3D7_0811100	mitochondrial carrier protein, putative	50
PF3D7_0811200	ER membrane protein complex subunit 1, putative	120
PF3D7_0811300	CCR4-associated factor 1	45
PF3D7_0811400	conserved protein, unknown function	9
PF3D7_0811500	histone-arginine methyltransferase CARM1, putative	100
PF3D7_0811600	conserved Plasmodium protein, unknown function	34
PF3D7_0811700	conserved Plasmodium protein, unknown function	155
PF3D7_0811800	conserved Plasmodium protein, unknown function	219
PF3D7_0811900	RNA-binding protein, putative	40
PF3D7_0812000	conserved Plasmodium protein, unknown function	206
PF3D7_0812100	conserved protein, unknown function	35
PF3D7_0812300	sporozoite surface protein 3, putative	43
PF3D7_0812400	karyopherin alpha	65
PF3D7_0812500	RNA-binding protein, putative	39
PF3D7_0812600	ubiquitin-conjugating enzyme E2, putative	169
PF3D7_0812700	U1 small nuclear ribonucleoprotein C, putative	114
PF3D7_0812900	conserved Plasmodium protein, unknown function	216
PF3D7_0813000	conserved Plasmodium protein, unknown function	45
PF3D7_0813100	conserved Plasmodium protein, unknown function	14
PF3D7_0813200	CS domain protein, putative	40
PF3D7_0813300	conserved Plasmodium protein, unknown function	39
PF3D7_0813400	conserved Plasmodium protein, unknown function	145
PF3D7_0813500	PUB domain-containing protein, putative	51
PF3D7_0813600	translation initiation factor SUI1, putative	171
PF3D7_0813700	ABC transporter F family member 1, putative	58
PF3D7_0813800	GDP-mannose 4,6-dehydratase	182
PF3D7_0813900	40S ribosomal protein S16, putative	9
PF3D7_0814000	60S ribosomal protein L13-2, putative	9
PF3D7_0814100	conserved Plasmodium protein, unknown function	190
PF3D7_0814200	DNA/RNA-binding protein Alba 1	39
PF3D7_0814300	AAA family ATPase, putative	66
PF3D7_0814400	phospholipase DDHD1, putative	76
PF3D7_0814500	conserved Plasmodium protein, unknown function	7
PF3D7_0814600	conserved Plasmodium protein, unknown function	179
PF3D7_0814700	conserved Plasmodium protein, unknown function	216
PF3D7_0814900	superoxide dismutase [Fe]	50
PF3D7_0815000	selenoprotein	75
PF3D7_0815100	RAP protein, putative	164
PF3D7_0815200	importin beta, putative	13
PF3D7_0815300	FAD-dependent monooxygenase, putative	40
PF3D7_0815400	conserved Apicomplexan protein, unknown function	44
PF3D7_0815500	conserved Plasmodium protein, unknown function	33
PF3D7_0815600	eukaryotic translation initiation factor 3 subunit G, putative	49
PF3D7_0815700	ubiquitin	189
PF3D7_0815800	vacuolar protein sorting-associated protein 9, putative	30
PF3D7_0815900	dihydrolipoyl dehydrogenase, apicoplast	205
PF3D7_0816000	ribosome assembly protein RRB1, putative	100
PF3D7_0816100	phosphopantothenoylcysteine decarboxylase, putative	224
PF3D7_0816200	vacuolar protein sorting-associated protein 2, putative	21
PF3D7_0816300	conserved Plasmodium protein, unknown function	228
PF3D7_0816400	EF-hand calcium-binding domain-containing protein, putative	123
PF3D7_0816500	small heat shock protein HSP20, putative	43
PF3D7_0816600	chaperone protein ClpB1	29
PF3D7_0816700	trafficking protein particle complex subunit 2-like protein, putative	50
PF3D7_0816800	meiotic recombination protein DMC1, putative	95
PF3D7_0816900	adenylate kinase 2	211
PF3D7_0817000	NEDD8-activating enzyme E1 catalytic subunit, putative	48
PF3D7_0817200	conserved Plasmodium protein, unknown function	30
PF3D7_0817300	conserved Plasmodium protein, unknown function	70
PF3D7_0817400	phosphatase, putative	48
PF3D7_0817500	protein kinase c inhibitor-like protein, putative	64
PF3D7_0817600	conserved Plasmodium protein, unknown function	37
PF3D7_0817700	rhoptry neck protein 5	18
PF3D7_0817800	conserved Plasmodium protein, unknown function	217
PF3D7_0817900	high mobility group protein B2	21
PF3D7_0818000	U4/U6.U5 small nuclear ribonucleoprotein, putative	83
PF3D7_0818100	zinc finger protein, putative	103
PF3D7_0818200	14-3-3 protein	30
PF3D7_0818300	dynactin subunit 6, putative	74
PF3D7_0818400	rRNA-processing protein FCF1, putative	131
PF3D7_0818500	zinc finger protein, putative	23
PF3D7_0818600	BEM46-like protein, putative	90
PF3D7_0818700	DNA helicase, putative	100
PF3D7_0818800	U3 small nucleolar ribonucleoprotein protein IMP4, putative	66
PF3D7_0818900	heat shock protein 70	119
PF3D7_0819000	conserved Plasmodium protein, unknown function	100
PF3D7_0819100	BRIX domain, putative	49
PF3D7_0819200	perforin-like protein 5	8
PF3D7_0819300	conserved Plasmodium protein, unknown function	186
PF3D7_0819400	perforin-like protein 4	84
PF3D7_0819500	conserved protein, unknown function	70
PF3D7_0819600	conserved Plasmodium protein, unknown function	14
PF3D7_0819700	conserved Plasmodium protein, unknown function	18
PF3D7_0819800	conserved Plasmodium protein, unknown function	133
PF3D7_0820000	Snf2-related CBP activator, putative	147
PF3D7_0820100	RNA-binding protein, putative	42
PF3D7_0820200	phosphatidylglycerophosphate synthase	59
PF3D7_0820300	conserved Plasmodium protein, unknown function	23
PF3D7_0820400	conserved Plasmodium protein, unknown function	188
PF3D7_0820500	protein transport protein YIF1, putative	23
PF3D7_0820600	conserved Plasmodium membrane protein, unknown function	18
PF3D7_0820700	2-oxoglutarate dehydrogenase E1 component	10
PF3D7_0820800	conserved Plasmodium protein, unknown function	44
PF3D7_0820900	conserved Plasmodium protein, unknown function	62
PF3D7_0821100	protein kinase 1	66
PF3D7_0821200	conserved Plasmodium protein, unknown function	120
PF3D7_0821300	ATP-dependent RNA helicase DHX36, putative	76
PF3D7_0821400	conserved Plasmodium protein, unknown function	179
PF3D7_0821500	ribosomal RNA small subunit methyltransferase NEP1, putative	85
PF3D7_0821600	polyribonucleotide 5'-hydroxyl-kinase Clp1, putative	91
PF3D7_0821700	60S ribosomal protein L22, putative	9
PF3D7_0821800	protein transport protein SEC61 subunit beta, putative	59
PF3D7_0821900	conserved Plasmodium protein, unknown function	48
PF3D7_0822000	mitochondrial ribosomal protein L4 precursor, putative	146
PF3D7_0822100	mediator of RNA polymerase II transcription subunit 7, putative	9
PF3D7_0822200	phosphorylated CTD interacting factor 1 WW domain-containing protein, putative	65
PF3D7_0822300	small nuclear ribonucleoprotein G, putative	83
PF3D7_0822400	conserved Plasmodium protein, unknown function	91
PF3D7_0822500	dynein light chain 1	170
PF3D7_0822600	protein transport protein SEC23	23
PF3D7_0822700	thrombospondin-related protein 1, putative	170
PF3D7_0822800	U5 small nuclear ribonucleoprotein 40 kDa protein, putative	52
PF3D7_0822900	conserved Plasmodium protein, unknown function	176
PF3D7_0823000	serine/threonine protein kinase VPS15, putative	229
PF3D7_0823100	RWD domain-containing protein, putative	26
PF3D7_0823200	RNA-binding protein, putative	39
PF3D7_0823300	histone acetyltransferase GCN5	98
PF3D7_0823400	alpha/beta hydrolase, putative	182
PF3D7_0823500	inner membrane complex protein 1i, putative	230
PF3D7_0823600	lipoate-protein ligase B	141
PF3D7_0823700	mitochondrial import receptor subunit TOM7, putative	70
PF3D7_0823800	DnaJ protein, putative	70
PF3D7_0823900	dicarboxylate/tricarboxylate carrier	96
PF3D7_0824000	conserved Plasmodium protein, unknown function	231
PF3D7_0824100	exonuclease, putative	96
PF3D7_0824200	conserved Plasmodium protein, unknown function	146
PF3D7_0824300	GTP-binding protein, putative	18
PF3D7_0824400	nucleoside transporter 2	29
PF3D7_0824500	conserved Plasmodium protein, unknown function	42
PF3D7_0824600	Fe-S cluster assembly protein DRE2, putative	94
PF3D7_0824700	lipase maturation factor, putative	74
PF3D7_0824800	conserved Plasmodium membrane protein, unknown function	139
PF3D7_0824900	conserved Plasmodium protein, unknown function	152
PF3D7_0825000	conserved Plasmodium protein, unknown function	191
PF3D7_0825100	ankyrin-repeat protein, putative	84
PF3D7_0825200	translation initiation factor IF-3	231
PF3D7_0825300	SAYSvFN domain-containing protein, putative	51
PF3D7_0825500	protein KRI1, putative	100
PF3D7_0825600	cytochrome c oxidase assembly protein, putative	53
PF3D7_0825700	conserved Plasmodium protein, unknown function	43
PF3D7_0825800	conserved Plasmodium protein, unknown function	95
PF3D7_0825900	conserved Plasmodium protein, unknown function	124
PF3D7_0826000	conserved Plasmodium protein, unknown function	114
PF3D7_0826100	HECT-like E3 ubiquitin ligase, putative	100
PF3D7_0826200	alpha/beta hydrolase, putative	208
PF3D7_0826300	SPRY domain, putative	10
PF3D7_0826400	dehydrodolichyl diphosphate synthetase, putative	176
PF3D7_0826500	ubiquitin conjugation factor E4 B, putative	36
PF3D7_0826600	SNARE protein, putative	70
PF3D7_0826700	receptor for activated c kinase	9
PF3D7_0826900	conserved Plasmodium protein, unknown function	27
PF3D7_0827000	ATP-dependent RNA helicase DBP10, putative	100
PF3D7_0827100	translation initiation factor IF-2, putative	96
PF3D7_0827200	conserved Plasmodium protein, unknown function	95
PF3D7_0827300	conserved Plasmodium protein, unknown function	66
PF3D7_0827400	conserved Plasmodium protein, unknown function	130
PF3D7_0827500	apicoplast ribosomal protein L21 precursor, putative	40
PF3D7_0827600	conserved Plasmodium protein, unknown function	32
PF3D7_0827700	magnesium transporter, putative	1
PF3D7_0827800	SET domain protein, putative	95
PF3D7_0827900	protein disulfide isomerase	109
PF3D7_0828000	rhomboid protease ROM3	95
PF3D7_0828100	conserved Plasmodium protein, unknown function	96
PF3D7_0828200	leucine--tRNA ligase, putative	58
PF3D7_0828300	conserved Plasmodium protein, unknown function	73
PF3D7_0828400	mitochondrial inner membrane protein OXA1, putative	53
PF3D7_0828500	translation initiation factor eIF-2B subunit alpha, putative	10
PF3D7_0828600	folate transporter 1	18
PF3D7_0828700	conserved Plasmodium protein, unknown function	133
PF3D7_0828800	GPI-anchored micronemal antigen	103
PF3D7_0828900	conserved Plasmodium protein, unknown function	95
PF3D7_0829000	conserved Plasmodium membrane protein, unknown function	50
PF3D7_0829100	conserved protein, unknown function	61
PF3D7_0829200	prohibitin, putative	70
PF3D7_0829300	U6 snRNA-associated Sm-like protein LSm8, putative	64
PF3D7_0829400	prolyl 4-hydroxylase subunit alpha, putative	203
PF3D7_0829500	conserved Plasmodium protein, unknown function	230
PF3D7_0829600	early transcribed membrane protein 8	38
PF3D7_0830300	sporozoite invasion-associated protein 2	1
PF3D7_0830400	CRA domain-containing protein, putative	195
PF3D7_0830500	sporozoite and liver stage tryptophan-rich protein, putative	66
PF3D7_0830600	Plasmodium exported protein (PHISTc), unknown function	76
PF3D7_0830700	Plasmodium exported protein (hyp9), unknown function	70
PF3D7_0830800	surface-associated interspersed protein 8.2 (SURFIN 8.2)	232
PF3D7_0830900	Plasmodium exported protein, unknown function	70
PF3D7_0831000	Plasmodium exported protein (PHISTb), unknown function	145
PF3D7_0831100	surface-associated interspersed protein 8.1 (SURFIN 8.1)	151
PF3D7_0901200	Plasmodium exported protein, unknown function, fragment	179
PF3D7_0901700	Plasmodium exported protein (hyp5), unknown function	146
PF3D7_0901900	probable protein, unknown function	1
PF3D7_0902000	serine/threonine protein kinase, FIKK family	3
PF3D7_0902100	serine/threonine protein kinase, FIKK family	27
PF3D7_0902200	serine/threonine protein kinase, FIKK family	186
PF3D7_0902300	serine/threonine protein kinase, FIKK family	66
PF3D7_0902400	serine/threonine protein kinase, FIKK family	142
PF3D7_0902500	serine/threonine protein kinase, FIKK family	81
PF3D7_0902600	serine/threonine protein kinase, FIKK family	88
PF3D7_0902700	Plasmodium exported protein (PHISTb), unknown function, pseudogene	198
PF3D7_0902800	serine repeat antigen 9	27
PF3D7_0903000	conserved protein, unknown function	118
PF3D7_0903100	protein RER1, putative	183
PF3D7_0903200	ras-related protein RAB7	50
PF3D7_0903300	conserved Plasmodium membrane protein, unknown function	33
PF3D7_0903400	ATP-dependent RNA helicase DDX60, putative	131
PF3D7_0903500	conserved Plasmodium protein, unknown function	66
PF3D7_0903600	conserved Plasmodium protein, unknown function, unspecified product	103
PF3D7_0903700	alpha tubulin 1	227
PF3D7_0903800	LCCL domain-containing protein	130
PF3D7_0903900	60S ribosomal protein L32	9
PF3D7_0904000	GTPase-activating protein, putative	137
PF3D7_0904100	AP-4 complex subunit epsilon, putative	88
PF3D7_0904200	PH domain-containing protein, putative	130
PF3D7_0904300	conserved protein, unknown function	43
PF3D7_0904400	signal peptidase complex subunit 3, putative	108
PF3D7_0904500	prefoldin subunit 4, putative	115
